poster_session	id	session_ID	title	presenter	authors	affiliations
PSI	1	1	OLIGONUCLEOTIDE-BASED FAST CLUSTERING OF BACTERIAL GENOMES FOR EPIDEMIOLOGY AND PHYLOGENETICS	Joseba Bikandi	Rosario San Millan_1; Ilargi Martinez-Ballesteros_2; Lorena Laorden_2; Javier Garaizar_2; Joseba Bikandi_2	University of the Basque Country (EHU/UPV). Faculty of Medicine and Odontology.; University of the Basque Country (EHU/UPV). Faculty of Pharmacy
PSI	2	1	RUSSIAN PHAGE ROULETTE IN REFERENCE GENOMES	Jonas T. Björkman	Jonas T. Björkman_1; Kristoffer Kiil_1; Eva Møller Nielsen_1	Statens Serum Institut
PSI	3	1	SCCMEC TYPING OF MRSA GENOMES	Peder Worning	Peder Worning_1; Jesper Boye Nielsen_1; Heidi Gumpert_1; Mette Bartels_1; Henrik Westh_1	Hvidovre University Hospital
PSI	4	1	TOWARDS NGS AS FRONTLINE TOOL FOR ROUTINE TYPING OF S. AUREUS AT THE GERMAN REFERENCE CENTER FOR STAPHYLOCOCCI AND ENTEROCOCCI?	Birgit Strommenger	Birgit Strommenger_1; Sophie Ziegler_1; Stephan Fuchs_1; Jennifer Bender_1; Franziska Layer_1; Guido Werner_1	Robert Koch Institute
PSI	5	1	ACCNET: NEW TOOL FOR ACCESSORY GENOME ANALYSIS USING BIPARTITE NETWORKS.	Val Fernandez Lanza	Val Fernandez Lanza_1; Irene Rodriguez_1; Ana P. Tedim_1; María de Toro_2; Fernando de la Cruz_2; Rafael Cantón_1; Fernando Baquero_1; Teresa M. Coque_1	CIBER-ESP. Hospital Universitario Ramón y Cajal and Instituto Ramón y Cajal de Investigación Sanitaria IRYCIS; Instituto de Biomedicina y Biotecnología de Cantabria IBBTEC UC-SODERCAN-CSIC
PSI	6	1	THE CONTAMINATED GENOME	Peder Worning	Peder Worning_1; Heidi Gumpert_1; Jesper Boye Nielsen_1; Henrik Westh_1	Department of Clinical Microbiology, Copenhagen University Hospital, Hvidovre Hospital
PSI	7	1	GENOME-BASED EPIDEMIOLOGICAL SURVEILLANCE OF LISTERIA MONOCYTOGENES AT A GLOBAL SCALE	Alexandra Moura	Alexandra Moura_1; Hannes Pouseele_2; Alexis Criscuolo_1; Mylène Maury_1; Marie Touchon_1; Alexandre Leclercq_1; Viviane Chenal-Francisque_1; Hélène Dieye_1; Thomas Cantinelli_1; Louis Jones_1; Elise Larsonneur_1; Cheryl Tarr_3; Heather Carleton_3; Zuzana Kucerova_3; Lee Katz_3; Steven Stroika_3; Jonas T. Larsson_4; Aleisha Reimer_5; Matthew Walker_5; Celine Nadon_5; Eva M. Nielsen_5; Tim Dallman_6; Kathie Grant_6; Peter Gerner-Smidt_3; Bruno Pot_2; Marc Lecuit_1; Sylvain Brisse_1	Institut Pasteur;Applied-Maths;Centers for Disease Control and Prevention;Statens Serum Institut;Public Health Agency of Canada;Public Health England
PSI	8	1	FIMTYPER; A WEB TOOL FOR E. COLI FIMH GENOTYPING	Henrik Hasman	Evgeni Sokurenko_1; Veronika Tchesnokova_1; Mariya Muradova_1; Sujay Chattophadhay_1; Johanne Ahrenfeldt_2; Rosa Allesøe_2; Frank Hansen_3; Anette Hammerum_3; Henrik Hasman_3	University of Washington;Technical University of Denmark;Statens Serum Institut
PSI	9	1	EXAMINING GENE-BY-GENE DIVERSITY ACROSS THOUSANDS OF WHOLE GENOMES TO DETERMINE SUITABLE TARGETS	Sofia Hauck	Sofia Hauck_1	University of Oxford
PSI	10	1	CORE GENOME TYPING: A USEFUL TOOL FOR MICRO-EPIDEMIOLOGICAL INVESTIGATIONS INVOLVING STAPHYLOCOCCUS AUREUS?	Bruno Pichon	Bruno Pichon_1; Michel Doumith_1; Neil Woodford_1; Angela M. Kearns_1	Public Health England
