id	session_ID	title	speaker	authors	affiliations
OP01	1	NULLARBOR: READS TO REPORTS, RAPIDLY	Torsten Seemann	Torsten Seemann_1; Dieter Bulach_1; Jason Kwong_1; Anders Goncalves Da Silva_1; Benjamin Howden_1	University of Melbourne
OP02	1	SCALABLE AND USER-FRIENDLY WORKFLOWS FOR MOLECULAR EPIDEMIOLOGY USING ENTEROBASE	Martin Sergeant	Martin Sergeant_1; Nabil-Fareed Alikhan_1; Zhemin Zhou_1; Mark Achtman_1	University of Warwick
OP03	1	SUCCESSES AND CHALLENGES IN HIGH THROUGHPUT WHOLE GENOME SEQUENCING OF VIRUSES	Dan Frampton	Dan Frampton_1; Tiziano Gallo Cassarino_1; Zisis Kozlakidis_1; Anne Hoppe_1; Deenan Pillay_2; Paul Kellam_3	Division of Infection and Immunity, UCL;Wellcome Trust Africa Centre for Health and Population Studies;Wellcome Trust Sanger Institute
SC1	1	Whole genome sequence analysis (wgsa.net). An exemplar using Staphylococcus aureus	David Aanensen	David Aanensen_1_2	Department of Infectious Disease Epidemiology, Imperial College London; Wellcome Trust Sanger Institute, Kingdom
OP05	1	THE EPIQUANT FRAMEWORK FOR ASSESSING EPIDEMIOLOGIC AND GENETIC CONCORDANCE: TOWARDS IMPROVED USE OF GENOMIC DATA IN EPIDEMIOLOGICAL APPLICATIONS.	Eduardo N. Taboada	Benjamin Hetman_1; Steven K. Mutschall_2; Victor P. J. Gannon_2; James E. Thomas_1; Eduardo N. Taboada_2	Department of Biological Sciences, University of Lethbridge;National Microbiology Laboratory at Lethbridge, Public Health Agency of Canada
OP06	1	CLIMB: DEVELOPING A NATIONAL CLOUD INFRASTRUCTURE FOR MICROBIAL BIOINFORMATICS.	Emily Richardson	Emily Richardson_1; Nick Loman_1; Simon Thompson_1; Matthew Ismail_2; Sam Sheppard_3; Thomas Connor_4; 	University of Birmingham;University of Warwick;University of Swansea;University of Cardiff
OP07	2	RESOLVING GENOTYPE-PHENOTYPE MAPS OF OPPORTUNISTIC PATHOGENICITY IN STAPHYLOCOCCUS EPIDERMIDIS TO IDENTIFY FUNCTIONAL MARKERS OF INFECTION	Guillaume Méric	Guillaume Méric_1; Leonardos Mageiros_1; Samuel K. Sheppard_1	Swansea University Medical School
OP08	2	MULTIOMIC APPROACH TO DELINEATE INTRACLONAL DIVERSITY OF CG14 AND CG15 KLEBSIELLA PNEUMONIAE		Mark Pallen2	REQUIMTE@UCIBIO, Faculdade de Farmácia da Universidade do Porto; Hospital Universitario Ramón y Cajal and Instituto Ramón y Cajal de Investigación Sanitaria (IRYCIS)/CIBERESP; Center of Biological Engineering, University of Minho; REQUIMTE@UCIBIO, Faculdade de Farmácia da Universidade do Porto/FP-ENAS/CEBIMED. Faculdade de Ciências da Saúde, Universidade Fernando Pessoa; iMed, Departamento de Farmácia Galénica e Tecnologia Farmacêutica, Faculdade de Farmácia, Universidade de Lisboa
OP09	2	EVOLUTION OF THE SKIN COMMENSAL STAPHYLOCOCCUS EPIDERMIDIS IN THE HOSPITAL ENVIRONMENT: INSIGHTS FROM AN EARLY COLLECTION	Joana Rolo	Joana Rolo_1; Rita Sobral_2; Jesper Boye Nielsen_3; Peder Worning_3; Rory Bowden_4; Samuel Sheppard_5; Guillaume Méric_5; Robert Skov_6; Henrik Westh_3; Hermínia de Lencastre_7; Maria Miragaia_1	Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica António Xavier; Laboratory of Bacterial Evolution and Molecular Epidemiology, Instituto de Tecnologia Química e Biológica António Xavier; Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica António Xavier ; Laboratory of Molecular Microbiology of Bacterial Pathogens, UCIBIO-REQUIMTE, Faculdade de Ciências e Tecnologia - Universidade Nova de Lisboa; Department of Clinical Microbiology, Hvidovre University Hospital; Wellcome Trust Centre for Human Genetics, University of Oxford; College of Medicine, Swansea University, Institute of Life Science; MRC CLIMB Consortium, Swansea University, Institute of Life Science; Statens Serum Institut; Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica António Xavier; Laboratory of Microbiology and Infectious Diseases, The Rockefeller University
OP10	2	EVOLUTION AND ADAPTATION OF PSEUDOMONAS AERUGINOSA WITHIN PATIENTS WITH CYSTIC FIBROSIS	Rasmus Lykke Marvig	Rasmus Lykke Marvig_1	Rigshospitalet, Copenhagen University Hospital
OP11	2	GENOMIC DIVERSITY OF CARBAPENEMASE-PRODUCING KLEBSIELLA PNEUMONIAE IN GERMANY	Laura Becker	Laura Becker_1; Matthias Steglich_1; Yvonne Pfeifer_1; Martin Kaase_2; Stephan Fuchs_1; Ulrich Nübel_3; Guido Werner_1	Robert Koch Institute, FG13 Nosocomial Pathogens and Antibiotic Resistance; National Reference Laboratory for multidrug-resistant gram-negative bacteria, Department for Medical Microbiology, Ruhr-University Bochum; Leibniz Institute DSMZ
SC2	2	Genomics of Campylobacter adaptation to the host and man-made environments	Samuel K Sheppard	Samuel K Sheppard_1_2_3	Department of Zoology, University of Oxford, Oxford, UK; · College of Medicine, Institute of Life Science, Swansea University, Swansea, UK; MRC CLIMB Consortium, Institute of Life Science, Swansea University, Swansea, UK
SC3	3	Modern interventional microbiology for infection- and resistance control	Alexander W. Friederich	Alexander W. Friederich_1_2	Department of Medical Microbiology, University of Groningen, University Medical Center Groningen, Groningen, Netherlands
OP12	3	UTILITY OF THE SALMONELLA IN SILLICO TYPING RESOURCE (SISTR) TO OUTBREAK INVESTIGATIONS	James Robertson	James Robertson_1; Catherine Yoshida_1; Peter Kruczkiewicz_1; Eduardo N. Taboada_1; John H.E. Nash_1	Public Health Agency of Canada
OP13	3	ANALYZING VANCOMYCIN-RESISTANT ENTEROCOCCUS FAECIUM OUTBREAKS BY CORE GENOME MULTI LOCUS SEQUENCE TYPING	Xuewei Zhou	Xuewei Zhou_1; Jan P. Arends_1; Sigrid Rosema_1; Erik Bathoorn_1; Alexander W. Friedrich_1; John W.A. Rossen_1	University Medical Center Groningen
OP14	3	PHYLOGENOMIC CHARACTERIZATION OF THE CAUSATIVE STRAIN OF ONE OF THE LARGEST WORLDWIDE OUTBREAKS OF LEGIONNAIRES’ DISEASE OCCURRED IN PORTUGAL IN 2014	Vítor Borges	Vítor Borges_1; Alexandra Nunes_1; Daniel A Sampaio_1; Luís Vieira_1; João P. Gomes_1	National Institute of Health Dr. Ricardo Jorge
SC4	3	WGS-Based Approaches for Cluster Investigation of Legionnaires’ Disease: Current Experience and Future Direction	Jacob Moran-Gilad	Jacob Moran-Gilad_1-4	Chair, National Programme for Legionellosis Prevention, Public Health Services, Ministry of Health, Jerusalem, Israel; Professor of Clinical Microbiology, Faculty of Health Sciences, Ben-Gurion University of the Negev, Beer-Sheva, Israel; ESCMID Study Group for Legionella Infections (ESGLI); ESCMID Study Group for Molecular Diagnostics (ESGMD)
SC5	3	Whole genome-based population biology and global epidemiological surveillance of Listeria monocytogenes	Sylvain Brisse	Sylvain Brisse_1	Institut Pasteur, Genotyping of Pathogens and Public Health, Paris,France
OP15	4	COMPARATIVE PHENOTYPIC AND GENOMIC ANALYSIS OF FOOD BORNE ISOLATES INVOLVED IN MULTISTATE OUTBREAKS OF ATYPICAL SALMONELLA ENTERICA SEROVARS	Daniel Hurley	Daniel Hurley_1; Maria Hoffmann_2; Marta Martin_1; Eric W. Brown_2; Séamus Fanning_1	UCD Centre for Food Safety, University College Dublin; Center for Food Safety and Nutrition, Division of Microbiology, Office of Regulatory Science, U.S. Food and Drug Administration
OP16	4	A SINGLE CLONAL LINEAGE OF GROUP B STREPTOCOCCUS IS CAUSING BOVINE MASTITIS IN THE NORTH OF PORTUGAL	Alexandre Almeida	Alexandre Almeida_1; Cinthia Alves-Barroco_2; Elisabeth Sauvage_3; Ricardo Bexiga_4; Pedro Albuquerque_5; Fernando Tavares_5; Ilda Santos-Sanches_2; Philippe Glaser_3	Institut Pasteur, Unité Evolution et Ecologie de la Résistance aux Antibiotiques; CNRS UMR 3525; Université Pierre et Marie Curie; UCIBIO, Departamento de Ciências da Vida, Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa; Institut Pasteur, Unité Evolution et Ecologie de la Résistance aux Antibiotiques; CNRS UMR 3525; Centro de Investigação Interdisciplinar em Sanidade Animal, Faculdade de Medicina Veterinária, Universidade de Lisboa; Faculdade de Ciências, Departamento de Biologia, Universidade do Porto; Centro de Investigação em Biodiversidade e Recursos Genéticos
OP17	4	GENOMIC EPIDEMIOLOGY AND CROSS-BORDER TRANSMISSION OF SALMONELLA CHOLERAESUIS VAR. KUNZENDORF IN EUROPEAN PIGS AND WILD BOAR	Pimlapas Leekitcharoenphon	Pimlapas Leekitcharoenphon_1; Frank M. Aarestrup_1; Rene S. Hendriksen_1	Technical University of Denmark
OP18	4	WHOLE GENOME SEQUENCING OF THE LEPROSY AGENT MYCOBACTERIUM LEPROMATOSIS IN INFECTED RED SQUIRRELS FROM SCOTLAND	Charlotte Avanz	Charlotte Avanzi_1; Andrej Benjak_1; Philippe Busso_1; Chloé Loiseau_1; Karen Stevenson_2; Joyce McLucky_2; Jorge Del Pozo_3; Lucio Vera Cabrera_4; Anna Meredith_3; Stewart T. Cole_1	Ecole Polytechnique Fédérale de Lausanne; Moredun Research Institute; The University of Edinburgh; Servicio de Dermatología, Hospital Universitario
OP19	4	TRACING HUMAN CAMPYLOBACTER JEJUNI ISOLATES TO CHICKEN SLAUGHTER BATCHES AND SWIMMING WATER USING WHOLE-GENOME MULTILOCUS SEQUENCE TYPING	Ann-Katrin Llarena	Sara Kovanen_1; Rauni Kivistö_1; Ann-Katrin Llarena_1; Ji Zhang_1; Ulla-Maija Kärkkäinen_2; Tamara Tuuminen_3; Jaakko Uksila_4; Marjaana Hakkinen_5; Mirko Rossi_1; Marja-Liisa Hänninen_1	University of Helsinki; Eastern Finland Laboratory Centre Joint Authority Enterprise (ISLAB), Kuopio District Laboratory; Eastern Finland Laboratory Centre Joint Authority Enterprise (ISLAB), Mikkeli District Laboratory; Keslab Laboratory, Department of Clinical Microbiology, Central Finland Health Care District,; Finnish Food Safety Authority
OP20	4	SPREAD OF FLUOROQUINOLONE RESISTANT CTX-M-15-PRODUCING ESCHERICHIA COLI ST410 IN HUMANS AND ANIMALS	Linda Falgenhauer	Linda Falgenhauer_1; Can Imirzalioglu_1; Hiren Ghosh_1; Konrad Gwozdzinski_1; Judith Schmiedel_1; Katrin Gentil_1; Trinad Chakraborty_1	Institute of Medical Microbiology, University Hospital Giessen and German Center for Infection Research (DZIF), partner site Giessen-Marburg-Langen
OP21	5	MOLECULAR DIVERGENCE OF VANCOMYCIN-RESISTANT ENTEROCOCCUS FAECIUM ISOLATED IN BELGIUM AND DENMARK DISSECTED BY WHOLE GENOME MAPPING	Jasmine Coppens	Jasmine Coppens_1; Basil Britto Xavier_1; Katherine Loens_1; Christine Lammens_1; Lotte Jakobsen_2; Anette M. Hammerum_2; Herman Goossens_1; Surbhi Malhotra-Kumar_1	Department of Medical Microbiology, Vaccine & Infectious Disease Institute, Universiteit Antwerpen; Department of Microbiological Surveillance and Research, Statens Serum Institut
OP22	5	MITIGATING THE EFFECTS OF SEQUENCE DATA QUALITY ON STRAIN TYPEABILITY: TOWARDS THE DEVELOPMENT OF ROBUST CORE GENOME MLST (CGMLST) SCHEMES		Dillon O.R. Barker_1; Peter Kruczkiewicz_2; James E. Thomas_1; Chad Laing_2; Victor P. J. Gannon_2; Eduardo N. Taboada_2	Department of Biological Sciences, University of Lethbridge; National Microbiology Laboratory at Lethbridge, Public Health Agency of Canada
OP23	5	DEVELOPMENT OF A RAPID DIAGNOSTIC TEST FOR THE IDENTIFICATION OF PATHOGENIC CAMPYLOBACTER JEJUNI ISOLATES	Eduardo N. Taboada	Cody Buchanan_1; Peter Kruczkiewicz_2; Steven K. Mutschall_2; Benjamin Hetman_3; James E. Thomas_3; Victor P. J. Gannon_2; G. Douglas Inglis_4; Eduardo N. Taboada_2	Animal Diseases Research Institute, Canadian Food inspection Agency; National Microbiology Laboratory at Lethbridge, Public Health Agency of Canada; Department of Biological Sciences, University of Lethbridge; Lethbridge Research Centre, Agriculture and Agri-Food Canada
OP24	5	PROTEOTYPING OF STREPTOCOCCUS PNEUMONIAE, USING TANDEM MASS SPECTROMETRY FOR IDENTIFICATION OF BIOMARKERS FOR SPECIES AND STRAIN DIFFERENTIATION	Hedvig Engström Jakobsson	Hedvig Engström Jakobsson_1; Lucia Gonzales Siles_1; Roger Karlsson_2; Fredrik Boulund_3; Francisco Salvà-Serra_1; Erik Kristiansson_3; Edward R.B. Moore_1	Department of Infectious diseases, Gothenburg University; Department of Infectious diseases, Gothenburg University and Nanoxis Nanoxis Consulting AB; Department of Mathematical Statistics, Chalmers University of Technology
OP25	5	THE EVALUATION OF WHOLE GENOME SEQUENCING FOR THE EPIDEMIOLOGICAL TYPING OF LEGIONELLA PNEUMOPHILA	Sophia David	Sophia David_1; Martin Aslett_1; Rediat Tewolde_2; Simon Harris_1; Massimo Mentasti_2; Baharak Afshar_2; Anthony Underwood_2; Julian Parkhill_1; Timothy Harrison_2	Wellcome Trust Sanger Institute; Public Health England
OP26	5	TRACKING A MYCOBACTERIUM TUBERCULOSIS MDR STRAIN IN EQUATORIAL GUINEA BASED ON ASO-PCR TARGETING SPECIFIC SNPS OBTAINED FROM WGS DATA	Darío García de Viedma	Laura Pérez-Lago_1; Griselda Tudó_2; Iñaki Comas_3; María Carcelén_1; Marta Herranz_1; Santiago Izco_1; Maria Jesus Ruiz Serrano_1; Juliá Gonzalez_2; Juan Eyene_4; Emilio Bouza_1; Darío García de Viedma_1	Instituto de Investigación Sanitaria Gregorio Marañón; Servei de Microbiologia-CDB. Hospital Clínic de Barcelona-ISGlobal. Universitat de Barcelona; FISABIO; MINISTERIO DE SANIDAD Y BIENESTAR SOCIAL de Guinea Ecuatorial. Programa Nacional de Tuberculosis (PNLT-L)
OP33	6	PAN-GENOME APPROACHES TO IDENTIFY CANDIDATE GENETIC MARKERS IN CLINICAL STAPHYLOCOCCUS SPECIES	Guillaume Méric	Guillaume Méric_1; Leonardos Mageiros_1; Samuel K. Sheppard_1	Swansea University Medical School
OP34	6	BIOMARKER DISCOVERY FOR PHENOTYPIC GROUPS IN ESCHERICHIA COLI USING SUPERPHY	Vic Gannon	Chad Laing_1; Akiff Manji_2; Vic Gannon_1	Public Health Agency of Canada; The University of British Columbia
OP35	6	CLOSTRIDIUM DIFFICILE - HETEROGENEITY OF PATHOGENICITY LOCUS AND CHARACTERISATION OF ATYPICAL PALOC-REPLACING SEQUENCES IN NON-TOXIGENIC STRAINS	Sandra Janezic	Sandra Janezic_1; Kate Dingle_2; Derrick W. Crook_2; Maja Rupnik_1	National Laboratory for Health, Environment and Food and University of Maribor, Faculty of Medicine; Oxford University, John Radcliffe Hospital
OP36	6	EXPLORING THE KEY FACTORS FOR THE SUCCESS OF CLONAL COMPLEX 2 (CC2), THE MAIN STAPHYLOCOCCUS EPIDERMIDIS LINEAGE	Diana Espadinha	Diana Espadinha_1; Rita Sobral_2; Guillaume Méric_3; Samuel Sheppard_3 Hermínia de Lencastre_4; Maria Miragaia_1	Laboratory of Bacterial Evolution and Molecular Epidemiology, ITQB-UNL; Laboratory of Molecular Microbiology of Bacterial Pathogens, UCIBIO@REQUIMTE, FCT-UNL; College of Medicine, Institute of Life Science, Swansea University; Laboratory of Microbiology and Infectious Diseases, The Rockefeller University
OP37	6	INSERTION SEQUENCES PLAY A KEY ROLE IN THE PHENOTYPIC AND GENOTYPIC PLASTICITY OF THE MOST FREQUENT STAPHYLOCOCCUS HAEMOLYTICUS CLONAL LINEAGE	Maria Miragaia	Ons Bouchami_1; Herminia de Lencastre_2; Maria Miragaia_1	Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica (ITQB) António Xavier, Oeiras, Portugal and Laboratory of Bacterial Evolution and Molecular Epidemiology; Laboratory of Molecular Genetics, Instituto de Tecnologia Química e Biológica (ITQB) António Xavier, Oeiras, Portugal and Laboratory of Microbiology and Infectious Diseases, The Rockefeller University, New York, New York, United States of America
OP38	6	NOVEL LINEAGE OF NON-EUROPEAN CC80 COMMUNITY-ACQUIRED MRSA	Marc Stegger	Sofie Edslev_1; Paal Skytt Andersen_1; Henrik Westh_2; Nobumichi Kobayashi_3; Mette Bartels_2; Peder Worming_2; Robert Skov_1; Anders Rhod Larsen_1; Marc Stegger_1	Statens Serum Institut; Hvidovre Hospital; Sapporo Medical University School of Medicine
OP39	7	TARGETED METAGENOMICS TO TRACK AND CHARACTERIZE THE ANTIMICROBIAL RESISTOME (RESCAP1.0)	Val Fernandez Lanza	Val Fernandez Lanza_1; Irene Rodriguez_2; Ana P. Tedim_2; Maria de Toro_3; Fernando de la Cruz_3; Rafael Cantón_2; Fernando Baquero_2; Teresa M. Coque_2	Instituto Ramon y Cajal de Investigaciones Sanitarias; CIBER-ESP. Hospital Universitario Ramón y Cajal and Instituto Ramón y Cajal de Investigación Sanitaria IRYCIS, Madrid, Spain; Instituto de Biomedicina y Biotecnología de Cantabria IBBTEC UC-SODERCAN-CSIC, Santander, Spain
OP40	7	A PILOT STUDY USING WGS TO DETECT THE PREVALENCE AND MECHANISM OF AZITHROMYCIN RESISTANCE IN A U.K POPULATION OF NON TYPHOIDAL SALMONELLA	Satheesh Nair	Satheesh Nair_1; Philip Ashton_1; Gauri Godbole_1; Michel Doumith_1; Steve Connell_1; Anais Painset_1; Elizabeth de Pinna_1; Martin Day_1	Public Health England
OP41	7	MOLECULAR EPIDEMIOLOGY OF CARBAPENEMASE-PRODUCING GRAM-NEGATIVES IN A PEDIATRIC HOSPITAL IN ANGOLA	POIREL Laurent	POIREL Laurent_1; KIEFFER Nicolas_1; AIRES-DE-SOUSA Marta_2; NORDMANN Patrice_1	University of Fribourg; Escola Superior de Saúde da Cruz Vermelha Portuguesa
OP42	7	INVESTIGATION OF POTENTIAL SHARING OF CARBAPENEM RESISTANCE PLASMIDS BETWEEN MEMBERS OF THE ENTEROBACTERIACEAE USING MINION TECHNOLOGY	Sandra Reuter	Sandra Reuter_1; Kim Judge_1; Simon R Harris_2; Catherine Ludden_1; Theodore Gouiouris_1; Sharon J Peacock_1	University of Cambridge; Wellcome Trust Sanger Institute
OP43	7	GENOMIC EPIDEMIOLOGY OF VANCOMYCIN RESISTANT ENTEROCOCCUS FAECIUM AND DISSEMINATION OF THE VANA TRANSPOSON (TN1546) IN COPENHAGEN 2012-14	Mette Pinholt	Mette Pinholt_1; Jesper Boye Nielsen_1; Heidi Gumpert_1; Michael Pedersen_2; Veronika Vorobieva_3; Peder Worning_1; Henrik Westh_1	Department of Clinical Microbiology, Hvidovre University Hospital; Department of Clinical Microbiology, Herlev University Hospital; Department of Clinical Microbiology, Copenhagen University Hospital, Rigshospitalet
SC6	7	GENOMIC EPIDEMIOLOGY OF VANCOMYCIN-RESISTANT ENTEROCOCCUS FAECIUM (VRE) DURING AN EPIDEMIC RISE OF VRE IN DUTCH HOSPITALS	Rob Willems	Malbert Rogers_1; Anita Schürch_1; Iris Braat_1; Ellen Brouwer_1; Janetta Top_1; Marc Bonten_1; Jukka Corander_2; Rob Willems_1	UMC Utrecht; University of Helsinki
OP27	8	TRACE AND CONTROL THE REGIONAL EXPANSION OF EXTENDED-SPECTRUM β-LACTAMASE PRODUCING ST15 KLEBSIELLA PNEUMONIAE	John W. A. Rossen	John W. A. Rossen_1; Mariette Lokate_1; Ruud H. Deurenberg_1; Marga Tepper_1; Jan P. Arends_1; Erwin G. C. Raangs_1; Jerome Lo-Ten-Foe_1; Hajo Grundmann_1; Kai Zhou_1; Alexander W. Friedrich_1	University of Groningen, University Medical Center Groningen
OP28	8	IDENTIFICATION OF MULTIPLE SILENT INTRODUCTIONS AND HOUSEHOLD TRANSMISSION OF METHICILLIN-RESISTANT STAPHYLOCOCCUS AUREUS USA300 IN THE UNITED KINGDOM	Michelle S. Toleman	Michelle S. Toleman_1; Sandra Reuter_1; Francesc Coll_1; Ewan Harrison_1; Estee Torok_1; Nicholas Brown_1; Beth Blane_1; Julian Parkhill_2; Sharon Peacock_3	University of Cambridge; Sanger Insitute; London School of Hygiene and Tropical Medicine
OP29	8	FIVE YEARS OF GENOMIC DATA FROM THE MENINGITIS RESEARCH FOUNDATION MENINGOCOCCAL GENOME LIBRARY (MRF-MGL) – UK AND IRELAND 2010-2015	Charlene Rodrigues	Charlene Rodrigues_1; Carina Brehony_2; Richard Moxon_1; Martin Maiden_1	University of Oxford; University Hospital Galway
OP30	8	EXPANSION OF PREVIOUSLY CIRCULATING CLONES UNDERLIES THE REPLACEMENT OF PNEUMOCOCCAL SEROTYPES IN ADULT IPD FOLLOWING INTRODUCTION OF PCV7 IN PORTUGAL	Andreia Neves Horácio	Andreia Neves Horácio_1; Catarina Silva Costa_1; Jorge Diamantino Miranda_1; Joana Pimento Lopes_1; Mário Ramirez_1; José Melo Cristino_1	Instituto de Medicina Molecular, Faculdade de Medicina, Universidade de Lisboa
OP31	8	INSIGHT INTO SALMONELLA EPIDEMIOLOGY FROM WHOLE GENOME SEQUENCING	Philip Ashton	Philip Ashton_1; Satheesh Nair_1; Elizabeth de Pinna_1; Richard Elson_1; Philip Monk_1; John Mair Jenkins_1; Sanch Kanagarajah_1; Isidro Carrion_1; Kathie Grant_1; Tim Dallman_1	Public Health England
OP32	8	NEXT GENERATION SEQUENCING (NGS) REVEALS NOSOCOMIAL TRANSMISSION OF LIVESTOCK-ASSOCIATED METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS IN HUMANS	Thijs Bosch	Thijs Bosch_1; Sandra Witteveen_1; Martijn van Luit_1; Fabian Landman_1; Anja Haenen_1; Leo Schouls_1	National Institute for Public Health and the Environment
SC7	9	Whole-genome linkage analysis reveals co-evolutionary mechanisms of antibiotic resistance in the pneumococcus	Jukka Corander	Jukka Corander_1	Department of Mathematics and Statistics, University of Helsinki
OP04	9	HOW TO COMPARE AND CLUSTER EVERY KNOWN GENOME IN ABOUT AN HOUR	Adam M. Phillippy	Adam M. Phillippy_1; Brian D. Ondov_2; Todd J. Treangen_2; Sergey Koren_1	National Human Genome Research Institute, National Institutes of Health; National Biodefense Analysis and Countermeasures Center
OP45	9	WHOLE GENOME SEQUENCE ANALYSIS SUGGESTS THAT A REMARKABLE SPREAD OF ANTHRAX OCCURRED IN FRANCE DURING THE HUNDRED YEARS WAR WITH ENGLAND	Gilles VERGNAUD	Gilles VERGNAUD_1; Guillaume GIRAULT_2; Simon THIERRY_2; Christine POURCEL_1; Nora MADANI_2; Yann BLOUIN_3	University Paris-Saclay; ANSES, University Paris-Est; DGA
OP46	9	MLST AND CGF40 FOR CHARACTERIZATION OF CAMPYLOBACTER JEJUNI ISOLATES FROM THE POULTRY CHAIN PRODUCTION AND FROM CLINICAL CASES IN FRANCE	Katell Rivoal	Katell Rivoal_1; Amandine Thépault_1; Valérie Rose_1; Ségolène Quesne_1; Francis Mégraud_2; Marianne Chemaly_1	Anses; CNR Campylobacters and Hélicobacters
OP47	9	TAXONOMER, AN INTEGRATED ULTRA-FAST TOOL FOR METAGENOMIC SEQUENCE ANALYSIS	Robert Schlaberg	Robert Schlaberg_1; Guochun Liao_2; Stephen Flygare_2; Evan Buss_2; Keith Simmon_3; Chase Miller_1; Yi Qiao_1; EJ Osborne_1; Karen Eilbeck_1; Gabor Marth_1; Mark Yandell_1	University of Utah; DbyDNA Inc.; Institute for Clinical and Experimental Pathology, ARUP Laboratories
